text,label
saya juga suka dengan geme ini saya gak di beri masuk saya ya hapus,negatif
Dev. serakah author yang serakah?,negatif
game asuuuuu,negatif
"alahhhh... dulu bagus banget ini game, sekarang setelah solo leveling overdrive rilis di PC ni game kaya di tinggalkan. bug sering ngefrezz pas main kaya gate simulasi, boss guild, farming artefak dll. sering juga down jaringannya. game sekelas wuwa saja gak ngelag dan lancar, lah ini sering down sinyalnya dulu padahal kagak begitu. btw saya download gamenya di situs resmi netmarble games, sengaja mengeluh di sini karena gak tau caranya mengeluh di web resmi. kalo sudah d perbaiki saya kasi B5👍",negatif
epic comeback pun hadia nya dikit kikir,negatif
Keren,positif
"game bagus karna grafik dan cerita namun banyak banget kurangnya dari segi grafik walaupun udah ultra hd atau hd sekalipun tapi tetap sama saja kurang dan juga game ini terlalu pay to win untuk level 80 ke atas apalagi cuman 10 tiket custom aja harganya bisa mahal padahal seharusnya murah dikit dan juga eventnya lumayan kurang karna event nya sendiri itu cuman buat Hero tertentu saja dan gak stabil buat Hero yang lain mungkin itu aja kurang nya , kalau bug kayaknya sedikit sedikit ada",negatif
"cukup bagus sih,cuma kadang bug nya aneh",positif
game ga jelas tiap tiap update mana besar banget maen game ini kalau gamau frame harus punya spek yang kemana si,negatif
Favorite👌tapi hp skrng dh xkuat... terpaksa uninstal💔,positif
game gg mirip banget dgn solo leveling dan bagus semoga bisa berkembang lagi dn buat development nya semangat terus buat game gini enak banget,positif
ga bisa login padalan udah pake akun google,negatif
game ini sangat tolol😡jangan buat game ini lagi,negatif
"setelah update malah susah login, kalo bisa login juga entar pas udah selesai gate / dugeon instan malah muter² doang. lama² pensi juga nih",negatif
tolonglah developer kenapa setiap mau main kok tiba-tiba ngelag,negatif
"maaf kok skill spesial hanter baru kok gk bisa aktif ya, ngebag atau gimana coba tolong di perbaiki lagi dong",positif
"muter"" trus jaringan padahal bagus ,ampas",negatif
makin d update makin gak jelas,negatif
SLOT ARTIFACT DI PERBANYAK DONG KARAKTER LU MAKIN BANYAK,negatif
"jujur keren, saya seperti benar benar berada di dunia manhwa nya. tapi mungkin bisa dibuat fitur untuk explore, soalnya kalau bosan cuma mutar mutar lobby doang. saya pengen lihat gedung gedung organisasi Hunter secara langsung",positif
sering keluar sendiri dari game,negatif
"1. game berat 2. sering lag 3. game monoton tempatnya itu² aja 4. lobby gitu² aja 5. sekali update, langsung ukuran besar",negatif
"boring, and cannot play offline",negatif
"game bagus, seru dan banyak character baru, hanya saja masih banyak bug.. saya pernah 2x membeli Delux Hunter pass, saldo saya terpotong namun item di dalam game tidak terkirim, dan saya sudah komplen ke pihak xsolla namun mereka bilang item saya sudah masuk, padahal saya belom menerima nya dan akhir nya saya membeli 2x ( duakali bayar ) dan uang top up saya yang pertama hangus entah kemana.. mohon di perbaiki lagi 🙏🏻",netral
"knpa ga bisa main si,apa login nya selama ini hampir 10 hitam terus",negatif
lain kali klo update lngsung di playstore ny aj. klo di apk lgsg lama jir data nya keunduhny. tpi sejauh ini gamenya bgus sih,positif
jelek,negatif
"BUAT PLAYER YG NGATAIN GAME INI, KALO HP MASI MENENGAH KEBAWAH JANGAN SOK INSTAL YA. GAME BAGUS GAADA BUAT HP KENTANG. KALO MAU MAEN GAME BAGUS LU NABUNG BELI HP SONO KERJA",positif
tidak bisa login,negatif
"tolong perbaiki bug sinyal di loading screen terlalu lama, kabarin please",positif
bagus saya suka,positif
nice,netral
sekarang game ini GK bisa di mainin oleh hp ram 8 saya ingin main tapi ram ya engak cukup terlalu besar,negatif
"secara grafik manjain mata,alur cerita sesuai sama di manhwa,banyak bonus dan cocok buat F2P",positif
lamaa amat download data data game nya🗿,negatif
tolong untuk developer nya game lebih dioptimalkan biar supaya enak main di hp yang menengah vitur sudah oke.,positif
"Ngestuck nggak jelas Coba kalok bukan penggemar komik dan anime nih game,gak bakalan saya download",negatif
This is the best game I've ever played. 🤝,positif
"Game bagus ,alur cerita bagus tapi kok pada ngasih rate rendah ya, anime nya jg bagus, makin ke sini makin berat ini game ,di tambah koneksinya jelek padahal wifi kenceng",positif
"Bismillahirrahmanirrahim Niat saya merabun/membooster ( Bismillahirrahmanirrahim ""Sak dulurku papat lima pancer,rasane jiwa ragaku,lakuku paringanan Urip,waras,berkah,slamet aja ana alangan sawiji apa"" ) Agar menjadi power full Dan berfungsi dengan baik Sebagaimana fungsinya Atas izin ALLAH SWT",positif
UI nya berat banget cok,positif
seru gamenya,positif
"Another bug, the QTE skill doesn't work",positif
good,positif
terlalu banyak kekurangan di game ini,negatif
gamenya keren cuyy gk nyesal download,netral
di tengah permainan kenapa selalu terjadi masalah selver,netral
ni kenapa server bermasalah kode salah? level udah tinggi udah dari dulu mainya kenapa ya tolong responya,negatif
kenapa server bermasalah?,negatif
asli seru banget,positif
I hope This game will still survive,positif
"download ulang terus setan,udh selesai selalu ada masalah patch nya error",negatif
keren. buru maen. cuma dikasih musuh lawan player dong 1 vs 1,positif
still there are many loading bug in smartphone.. as a old player its too embarassed,negatif
mntp gasssss,positif
update ya ampunn... kalau bayak kuota enak... update besar... pakain wifi susah sangat lama download ya... pdahal kalau di update perubahan g banyak,negatif
Bagus bagus aja sih menurut ku,positif
The game is very good but I hope this game can have offline mode because the ads are very annoying.,positif
makin kesini makin berat game nya gak kayak dulu,negatif
"woi lah developer masih jam 5 udh maintenance,misi belom ada yg kelar😿 Setidaknya kasih pengumuman dulu lah😡",negatif
"maaf saya kurangin bintang nya, itu karena ada banyak kendala selama saya bermain game ini terutama pada bug yg mengganggu seperti boss yg hilang atau hanya berwarna putih, bayangan sjw yg tidak muncul, dan juga sering force close atau permasalah sinyal yg tidak stabil.🫠",netral
belum juga login,positif
gem nya seruh parah jir,positif
ngeri size nya..,netral
no rekomendasi,negatif
gamenya keren,positif
tahun lalu download gara gara frieren doang,positif
sering force close,negatif
"makin sini makin banyak fitur jadi males main terus hadiah nya ga seberapa, ada game play 12 hanter sampe 20 hanter lah dan terlalu banyak makan waktu ngebuild setiap hunter nya",positif
Bagus Bett ini gem ada alur nya juga,positif
game nya bagus terus mirip banget sm aslinya,positif
udh d instal mau main d awal tp berat sangat coba priksa lagi dah perangkat servernya kaya nya lagi banyak problem nya,positif
download nya lama...,negatif
"ini game emng gede kk ram nya sampe 21gb, tapi untuk hp yg ram nya besar gk ngelag kok,",positif
"IZINN, JUJUR INI GAME GACHA TERBAIK DAN PALING RAMAH F2P, BAYANGIN AJA LU JARANG TOP UP TAPI NGERASA SULTAN DIKASI BANSOS NYA BANYAK BANGET WOII GUA GA NYANGKA SII, F2P BISA B5 IN HUNTER NYAA. BUAT KALIAN YANG GA PERCAYA COBAIN AJA DEH INI JUJUR",positif
ini sementara saya kasih bintang 2 dulu karena ada masalah di saat sedang bermain sering tiba tiba keluar dari game sendiri nya yang sangat menganggu tolong di perbaiki secepatnya 🙏,negatif
Update percepat Loading Cukup itu aja yg menghambat,positif
"apalah gak bisa masuk sama sekali,selau muncul tulisan scurity alert code (code : 2) [hack],udh banyak cara gw pake tetep aja gak bisa masuk",negatif
terimakasih sudah membuat game,positif
terdapat bug senjata yang sudah di craft tidak muncul padahal sudah tersertifikasi dapat,negatif
"Game baik, tpi makin berat wak aduhh hp ku gak kuat njir",positif
ugly.. just stop day dreaming,negatif
sia² grinding gw LV max+udah ke buka semua character sekarang beratnya minta ampun udah ga kuat ngangkat ni hp padahal pass awal² lancar.,negatif
"Bagus, cukup mudah dimainkan, cuma kalo main game ini HP cepet panas & berat, padahal pakai grafik rendah, dan banyak bug. gamenya makin lama makin berat banget, bahkan rekomendasi minimal untuk main game ini pakai RAM 8 ,serta chipset snapdragon 680 keatas.",positif
"Legion Pad 3 high spec aja gak smooth, pengaturan rata kanan dapetnya 30fps sakit mata... bukan menu dll ngelag ada pending sepersekian detik, developernya kayaknya mentingin top up dari pada kenyamanan pemain. tidak direkomendasikan di download ya ngabisin data download ampe mau 10GB btw",negatif
Good Game,positif
"untuk gameplay sudah bagus,tapi cuman ada kekurangan sedikit dalam cutscene nya.Ada yang Karakternya tidak muncul cuman senjata yang gerak aja.Cuman itu saja si,tapi saya harap Netmarble memberikan fitur ganti tema main screen loading saat login,saya ingin main screen yang ada gambar sung jin woo dan rajat semut yang warna hitam lagi bertarung dan musik nya, soal nya saya kangen dengan main screen itu,soal nya itu paling ikonik menurut aku",positif
Why when I exchange skins in the skin shop do they become fragments?,negatif
deadass game too greedy dev,negatif
saya ga maen kek nya malah otomatis maen sendiri bikin ga mood,negatif
"kenapa game ini tidak ada di ps5? padahal kalo ada di ps5 lebih seruu, smoga developer bisa masukin game ini ke ps5 segera",netral
geme koyok tempek,negatif
"It's good, but please, developers, I'm only improving my team a little bit, but it's getting bigger and bigger. The team needs to be stronger and use more time. Please, don't just give it 2 minutes.",netral
tiap Minggu update mulu entah apa apa yg di update jadi mals maen padahal Hero ku dh hampir ss smua,negatif
"overall bagus, cuma kok ini game kesannya berat banget. padahal hp saya chipset snapdragon 8 gen 1. jangankan main disettingan normal, settingan rendah aja hp udah berasa kebakar. mana nguras banget baterai padahal settingan RENDAH. please lah developer ini game dioptimalin lagi. next diubah bintang 5 kalo udah ada perbaikan. thanks.",netral
bagus,positif
"gamenya bagus banget, seru, tapi tolong perbanyak lagi karakter baru, dan tingkatkan sedikit persentase mendapat karakter SSR",positif
👍👌👌👌👌,positif
"Baek Yong ho white tiger berkurang setengah. jika d pake bertarung, fix it",negatif
"di lobi cuman nga ngo nga ngo gak ada kegiatan lain buat lah wilayah yg bisa di eksplor, gak ad otak bos nya bisa bisanya di suruh kalahin boss kroco tapi di kasih tantangan bom yang gak bisa di hubungi dari bom nya punya bar break di tambah darah bomnya lebih tinggi dari bosnya, terus gak bisa abis abis meledak 1 aja 1 area spawn lagi sampe kalah",negatif
game bagus ni menurut gua cmn pas mau masuk game gabisa pake wifi njr trs banyak bug jg optimalin lg sayang game bagus eos,netral
bagus banget jangan sampe tutup server ya,positif
"Setelah 6 Bulan ga main game ini ternyata banyak banger perubahan ya, sudah colab sama anime fieren terus juga updatenya udah ada bapanya sung jinwo/naga kamish keren juga ternyata, dan ada 1 lagi yg bikin saya bingung ini kontrolnya berubah ya skilnya jadi kaya kecil ga kaya dulu saya nyoba main story tombolnya di tangan saya jadi kecil ya? tolong dong di perbesar lagi tombol skil biar pas di tangan kaya kurang aja gitu di tangan saya, Sekian terimakasi🙏",positif
kali kali bisa GK KLO main tuh smooth buat hp ram 6 hhhhehere tapi bagus bngt ah saya sange mas ahhhhhh tak ewe ini game hamil nanti 😋😋😋😋,positif
"event Natal nya memuaskan, sorry untuk sebelumnya 🗿🙏",negatif
best game,positif
"untuk overall udah bagus ya, cuma untuk optimisasi nya agak kurang, bukan berharap lebih tapi spek HP entry pun bisa frame drop di setting normal 30 fps, padahal game lain kayak hsr bisa high, wtm bisa rata kanan",positif
kacau sering update ngalah²in apl sebelah😭,netral
mantep 👍🏻,positif
bukan kaum mendang mending,positif
gajelas bisa banget sumpah makin kesini masa baru kemarin upgrade sekarang uptade lagi gimana mau banyak peminat kalo gini trus mana size nya ga ngotak sekali upgrade adeuhhh 😴,negatif
sekarang udah oke lah,positif
"update Mulu dah Baru juga main dalam 3 udah update nya 2kali kayak 1hari update Mulu dah lama¹ hp bisa meledak, udahlah gem nya gak bagus malah di bikin update lagi udah sepi ini gem gak usah terlalu banyak update lah capek lama¹ main gem ini",negatif
kapan storynya ditambah ?,positif
"aku baca komik udah 10× lebih, sama game ini hampir sama alurnya orang nya skill nya cuman minus nya game nya lag patah patah kadang stuck padahal HP saya udah spek dewa gaming",netral
apa lagi sih yang di apdetk Cok tar harus unduh data 1gb lagi,negatif
"Game ini bagus,dan menyenangkan saat dimainkan 👍",positif
"secara keseluruhan game ini sudah bagus. yg bilang ram 8 ngeleg chipset kalian noh buriq abis, ram 8 doang kl chipset buriq ya sama aja ga lancar mainnya... game ini minusnya cuma harganya ga ngotak sama kl update lumayan",positif
buat developer mending kalo buat game yang full data sekalian ya kalo downloadnya di in game susah banget mending fullnya di play store kalo emg 2GB yaudah 2GB aja,negatif
"mengapa gabisa di mainin nihh, setelah D&C MEDIA layar langsung hitam semua",negatif
sangat bagus,positif
ni game bagus bet jirr mirip ama anime asli nyah dan chaapter sampingan nyah pun di masukin jir + dapet banyak ssr gratis gacha tapi harus kerja 🗿,positif
👎,netral
keren gue udh maen ampir 2 tahun tambah livecht global atau tambah arena multivayer mkasih,positif
apa dah kalo make jaringan wifi suka muter² padahal jaringan lancar,negatif
Kikir bet jir ni dev🗿🗿,negatif
Full Star karena saya sudah baca semua full episodenya di MangaEvo dan salah satu Manga FAVORIT saya. Ternyata gamenya juga THE BEST🤩👍 MANTAP DEVELOPER dan AUTHOR🔥🔥,positif
nice game . tp updated nya selalu Gedhe ... hehehhehe,positif
"game bagus parah, sesuai sama Solo Leveling juga namun aku punya beberapa rekomendasi yaitu: Shadow Soldiers Greed, Kamish, Ashborn, dan lain'. Tambahin mode offline (walau cuman bisa main diGate juga gapapa) senjata Jinwoo yang baru dong (elemen bebas) gitu aja sih",positif
"skrg kalo update harus sampe dlam nya download lagi ulang hufft kuota biasa boros inihh bisa2 , tolong di perbaiki",negatif
kenapa pas sayang udah download sekitar 7gb malah download ulang jadi 0 rugi kalo begini,negatif
"gamenya bagus sih tapi kalau kalian mau main game ini harus punya HP spek dewa, soalnya sekali download 10gb ke atas, HP kentang gak disarankan untuk main game ini😂😂",positif
Collabb with anime again good game I like this event free diamond very more please,positif
untuk graphic oke ga pelit untuk item dan karakter tolong dimudahkan untuk melawan bos dan cerita nya di perpanjang karakter dan senjata di perbanyak lagi agar lebih betah mainin nya,positif
Hopefully this game will be lighter to play in the future on lighter phones.,positif
bagus namun ada yang kurang p2w nya agak banyak,positif
bang kok gak bisa di buka sampai kapan gak bisa,netral
"setelah event collab selesai, kenapa harus download data ulang sebesar 8 gb.",netral
"Langsung aja ya.....tolong untuk enchant artefak,yang naik nya itu yang sesuai aja sama stat yang di butuhkan hunter/sung jin woo nya gitu biar ga boros material upgred,atau bisa milih stat mana yang kita naikin.......dan juga tolong pengoptilannya lagi di perangkat mobile karna masih ada beberpa bug yg mengganggu....kalau bisa rendering di kurangin untuk yang mobile.Itu aja..tolong ya netmarble selaku dev nya",positif
mantap euy gameny udah baikan dari sebelumnya. saran kedepannya si ya tambahin event/permanent event yang buat resource upgrade gitu. soalnya ini game sedikit susah untuk dapetin resource,positif
muaaantaaap polll,positif
"apalah dikit"" reconnecting mulu, kuota masih banyak sering banget dc, pake wifi pun juga dc, mau nya gimana si",negatif
"game ini kok pas baru dowload loding nya kok kelamaan ya, tolong di perbaiki saya juga pengen main tapi lorong nya lama tolong ya, trus họ saya pas loding tiba""panas banget, game nya kayak konto",negatif
"anime suntik, game jelek.",negatif
"teruntuk kang developer..tolong dong Collab anime Monster..Yohan liebert ,kayak nya OP..pake skill pikiran wkwkwkkwk",positif
game yang sangat worthit untuk orang yang suka game type story dan yang mau main genshin tapi gak mau ribet ini cocok bangett sangat rekomendasi game terbaik,positif
gamenya bagus grafik udah cukup detail buat orang² yg suka kena bug atau apapun itu mungkin device kalian yang kurang mumpuni terimakasih devloper sudah membuat game sekeren dan seseru ini✌️🙏,positif
"beda bgt kek di anime jir mana gada bhs Jepang nya lagi, jalan kaki, analog susah di kontrol nya size doang gede",positif
"tolong adain collab lagi dong sama anime"" terkenal seperti HxH ,one piece atau naruto",positif
"baguss banget dari segi gemplay, grafik yang bagus ok banget deh, buat yang login ny lama mungkin itu karena hp kalian yang kagak kuat memainkan game ini,,, dan dari segi gacha bagus game kagak kikir",positif
Tidak loading sehari akun keluar sendiri mulai dari awal level 1,negatif
"membosankan gamenya monoton, meski banyak fitur tapi kalo gak bisa menang apa buat cuma pajangan doang, jadi bosen mainnya, ini dan itu harus bayar semua",netral
gacor,positif
entah knapa akun saya malah jadi ngulang dari awal sumpah aneh banget da karakter saya udah pada ga ada lagi mana udah beli item dan ngeluarin uang malah pada ludes.,negatif
untuk jalan cerita sama kaya di anime dan komiknya sama jadi bisa ngalamin jadi Hunter,positif
download datanya kegedeaan mana suka crassh pdahal device i phone 13 pro,negatif
"saya mau maen game ini di hp baru pas saya sambungin sama email tapi beda akun tolong, saya ingin memainkan akun saya lagi",negatif
game sering eror gagal surves ntah apa lah pertama juga enak gamenya tapi tiba-tiba keluar sendiri,negatif
ngestuck,negatif
grafiknya bagus banget dan pertarungannya,positif
gam nya aneh gervik nya tiba tiba rusak aneh Garena tolong perbaiki,negatif
ini game kompleks lah mau story atau sekedar farm juga asik. paling utama adalah tetap update sesuai manwanya . persoalan game play atau semua tergantung Device nya kalau mampuni maka tidak kendala nyaman 60fps Set Tinggi Semua,positif
game nya up sih tapi banyak update nya ketika masuk gem nya mohon kurangi update nya gem sih bagus tapi.. update nya enggak masuk akall🧐,negatif
kekurangan hp kentang susah main moga moga grafik efek yg tidak penting di tutup di mode smoth,negatif
"game nya bagus namun di shoping yg di pakek belanja semuanya mata uang asli dengan cara membeli diamon dan yg lain namun di tempat shop tidak ada pembelajaan untuk koin gold sama sekali koin gold cuma bisa di pakai jika pelayer menaikan level sesuatu, tapi selain itu taruh lah sesuatu di shop pembelian sesuatu yg menggunakan koin gold agar gold kita sebagai player tidak menumpuk, jika sudah ada pembelajaan memakai gold di shop maka rating yg saya berikan ini akan saya ubah, tolong di respon min",netral
"game nya bagus sudah ada banyak perkembangan, tidak pelit bansos dan ramah untuk player gratisan. event banyak menarik dan colab terakhir dengan anime frieren terbaik sih. mungkin bisa ditambah event kolab dengan series anime terkenal seperti one Piece atau naruto sepertinya seru",positif
"game gaje cape"" gacha ehh karakter nya gabisa di ganti",negatif
cuma jlknya klo pembaruan download ulang semuanya .. .,netral
Lumayan,positif
"tinggal tunggu mode pvp aja lg , mudah mudahan cepet .",positif
banyak error saat main.,negatif
game burik dowload lama2 disuruh dowload yang 9gb ngotak dikit😮‍💨😮‍💨😮‍💨,negatif
"download data ulang kayak pertama kali, padahal ngk di apa apa in, setiap hari juga ku login in ntah kenapa tiba tiba donwload data ulang. kalo ini bug silakan di perbaiki lagi yaa🙏🙏",negatif
"nih ya, gwe dah cape dwonload masih b aja lah nah eps 4 yg kenaikan level malah nge bug g bisa di pencet anjir gaje",negatif
ngelag woi,negatif
"Tolong bug nya dihapus, masih banyak bug",positif
bagus banget,positif
game baik dan bagus,negatif
download smpai 9GB lebih. dah lama2. download. ngulang lagi. harusnya klu udah jln setengah. klu lanjut tinggal teruain. harus ngulang dri awal lg. capek dah 4x download. keputus mlu dah sepertiga jalan.,negatif
"game nya bagus aja menurut saya pribadi. dan untuk tampilan efek evolusi pasukan bayangan nya lebih ke wah lagi yaahh, selain terus kembangkan lagi game ini 😁",positif
😁,positif
game nya bagus tapi suka nge lag dan keluar sendiri,positif
can you guys make an option to turn off controller vibration on the settings. it's really annoying to play with controller because it shakes everytime i attack,negatif
"setelah update kenapa banyak yang berbayar, kaya sapu bersih gate, itu sebelum update gratis sekarang kenapa jadi berbayar? udh banyak uangnya ya?",negatif
"download data 9gb gak bisa download sambil main, nunggu 9gb siapa yang sabar",negatif
"Why is it that the game is boring lately because the prizes are too few, not like before",negatif
game bagus banget,positif
ga kikir nih game rimsvek ❤️,positif
noooo hp gua udah kuat Masi ngelek tolong developer fos nya di turunin dong😭😭😭,negatif
gacha nya gak guna,negatif
tolong sistem lock enemy nya dioptimalkan ini untuk semua stage beberapa boss locknya malah stuck di enviroment stage yg gajelas bukannya lock ke musuh malah ke dinding atau hal kosong. tolong segera di fix,negatif
"ada beberapa masalah 1 cuman gak login beberapa Minggu tapi udah update besar"" an terlalu lama di loby.dan yang lainnya udah di jelasin sama player"" lain .gw kasih bintang lima kenapa ? supaya kritikan gw di baca sama dvplr nya . terimakasih",positif
ikutan kasih bintang 1 loading seabad,negatif
mantap gameplay nya ternyata,positif
hahahaha death game mampussss,negatif
gamenya bagus. tapi tolong perbaiki jaringannya suka ilang2 main gk nyaman. tiap kali main loadigg trus🙃,negatif
"game nya seru sih tapi size apk sama file"" yang lain nya terlalu gede dan harus banget pakek wifi kalo download file nya soal nya gede banget tidak rekomendasi kalo buat di hp 1jtan sih",netral
grafic oke. cerita oke.,positif
"Masih banyak bugnya, sayang banget game sebagus ini malah banyak bug nya apalagi servernya lemot banget. Semoga bisa diperbaiki",negatif
setiap masuk kadang suka keluar keluar sendiri kadang setiap di lobby tiba tiba keluar dari game,negatif
"This is ridiculous. Other games always emphasize the importance of level differences. How can a level 99 still defeat a fully built level 110? Even when fighting a level 80 boss, you'll constantly adjust to make sure the enemy isn't easily defeated. Netmarble always makes every franchise a joke with its versions of the games.",negatif
game dongo lawan baran ga ngotak musuhnya,negatif
"Game bagus, ga pelit reward, tolong collab lg :""",positif
game nya kasih waktu pas lawan boss mana dikit banget lagi cuman 2 menit doang trus game nya lama lodingnya,negatif
"ukuran game nya ga ngotak gede bgt skali update 4gb kaya pas pasang baru trus game nya gitu"" doang blom top up nya mahal bgt",negatif
"geblek lg maen mlh loading terus,,keluar game masuk lg gak bisa hadeuh",netral
buasa,netral
"Game bagus banget, buat HP spec nanggung mendingan jangan dah, soalnya gw pernah download sebelumnya dan patah2, alhamdulillah ada rejeki ganti yg bagusan download lagi buat main, efek skillnya keren banget 🤗",positif
saya sudah top up hari ini. di event black friday. saldo sdh terpotong. tapi hasil top up tidak masuk. tolong solusinya.,negatif
tolong ini kenapa ya kalau mau download ulang itu disuruhnya harus ada storage 20 GB? padahal pas didownload atau pun sudah di download itu size nya cuma 9GB tolong ini diperbaiki!!!,negatif
"come on, gw suka sama game ini, suka banget malah, tapi kenapa klo ga login 4-6 hari, pas login lagi malah update besar besaran, mana memori hp langsung penuh lagi, game nya bagus cuman lu koreksi lagi aja dah developer, gw udah ngasih komentar🙏",negatif
terlalu banyak loading,negatif
Semakin banyak update semakin banyak bug frame rate udah diturunin masih ada notice terlalu tinggi lagi bertarung malah berbayang setelah selesai,negatif
