text,rating,date,lang
saya juga suka dengan geme ini saya gak di beri masuk saya ya hapus,1,2026-01-28 10:43:47,id
Dev. serakah author yang serakah?,1,2026-01-28 09:11:21,id
game asuuuuu,1,2026-01-28 03:27:44,id
"alahhhh... dulu bagus banget ini game, sekarang setelah solo leveling overdrive rilis di PC ni game kaya di tinggalkan. bug sering ngefrezz pas main kaya gate simulasi, boss guild, farming artefak dll. sering juga down jaringannya. game sekelas wuwa saja gak ngelag dan lancar, lah ini sering down sinyalnya dulu padahal kagak begitu. btw saya download gamenya di situs resmi netmarble games, sengaja mengeluh di sini karena gak tau caranya mengeluh di web resmi. kalo sudah d perbaiki saya kasi B5👍",1,2026-01-28 00:45:17,id
epic comeback pun hadia nya dikit kikir,1,2026-01-26 15:22:15,id
Keren,5,2026-01-26 13:52:26,id
"game bagus karna grafik dan cerita namun banyak banget kurangnya dari segi grafik walaupun udah ultra hd atau hd sekalipun tapi tetap sama saja kurang dan juga game ini terlalu pay to win untuk level 80 ke atas apalagi cuman 10 tiket custom aja harganya bisa mahal padahal seharusnya murah dikit dan juga eventnya lumayan kurang karna event nya sendiri itu cuman buat Hero tertentu saja dan gak stabil buat Hero yang lain mungkin itu aja kurang nya , kalau bug kayaknya sedikit sedikit ada",2,2026-01-26 05:46:27,id
"cukup bagus sih,cuma kadang bug nya aneh",5,2026-01-25 23:23:54,id
game ga jelas tiap tiap update mana besar banget maen game ini kalau gamau frame harus punya spek yang kemana si,1,2026-01-25 15:12:16,id
Favorite👌tapi hp skrng dh xkuat... terpaksa uninstal💔,5,2026-01-25 14:31:36,id
game gg mirip banget dgn solo leveling dan bagus semoga bisa berkembang lagi dn buat development nya semangat terus buat game gini enak banget,5,2026-01-25 11:31:40,id
ga bisa login padalan udah pake akun google,1,2026-01-24 18:37:57,id
game ini sangat tolol😡jangan buat game ini lagi,1,2026-01-24 16:08:25,id
"setelah update malah susah login, kalo bisa login juga entar pas udah selesai gate / dugeon instan malah muter² doang. lama² pensi juga nih",1,2026-01-24 08:44:01,id
tolonglah developer kenapa setiap mau main kok tiba-tiba ngelag,1,2026-01-24 00:04:05,id
"maaf kok skill spesial hanter baru kok gk bisa aktif ya, ngebag atau gimana coba tolong di perbaiki lagi dong",5,2026-01-23 02:50:00,id
"muter"" trus jaringan padahal bagus ,ampas",1,2026-01-22 11:41:05,id
makin d update makin gak jelas,1,2026-01-22 11:32:39,id
SLOT ARTIFACT DI PERBANYAK DONG KARAKTER LU MAKIN BANYAK,1,2026-01-22 02:24:44,id
"jujur keren, saya seperti benar benar berada di dunia manhwa nya. tapi mungkin bisa dibuat fitur untuk explore, soalnya kalau bosan cuma mutar mutar lobby doang. saya pengen lihat gedung gedung organisasi Hunter secara langsung",4,2026-01-20 15:55:31,id
sering keluar sendiri dari game,1,2026-01-19 19:31:08,id
"1. game berat 2. sering lag 3. game monoton tempatnya itu² aja 4. lobby gitu² aja 5. sekali update, langsung ukuran besar",2,2026-01-19 02:29:37,id
"boring, and cannot play offline",1,2026-01-18 23:28:26,id
"game bagus, seru dan banyak character baru, hanya saja masih banyak bug.. saya pernah 2x membeli Delux Hunter pass, saldo saya terpotong namun item di dalam game tidak terkirim, dan saya sudah komplen ke pihak xsolla namun mereka bilang item saya sudah masuk, padahal saya belom menerima nya dan akhir nya saya membeli 2x ( duakali bayar ) dan uang top up saya yang pertama hangus entah kemana.. mohon di perbaiki lagi 🙏🏻",3,2026-01-18 14:55:10,id
"knpa ga bisa main si,apa login nya selama ini hampir 10 hitam terus",1,2026-01-17 14:13:33,id
lain kali klo update lngsung di playstore ny aj. klo di apk lgsg lama jir data nya keunduhny. tpi sejauh ini gamenya bgus sih,5,2026-01-16 21:40:13,id
jelek,1,2026-01-16 13:47:34,id
"BUAT PLAYER YG NGATAIN GAME INI, KALO HP MASI MENENGAH KEBAWAH JANGAN SOK INSTAL YA. GAME BAGUS GAADA BUAT HP KENTANG. KALO MAU MAEN GAME BAGUS LU NABUNG BELI HP SONO KERJA",5,2026-01-16 06:39:06,id
tidak bisa login,1,2026-01-16 01:02:00,id
"tolong perbaiki bug sinyal di loading screen terlalu lama, kabarin please",5,2026-01-16 00:34:18,id
bagus saya suka,5,2026-01-15 22:07:59,id
nice,3,2026-01-15 21:21:39,id
sekarang game ini GK bisa di mainin oleh hp ram 8 saya ingin main tapi ram ya engak cukup terlalu besar,1,2026-01-15 17:06:59,id
"secara grafik manjain mata,alur cerita sesuai sama di manhwa,banyak bonus dan cocok buat F2P",5,2026-01-15 13:53:12,id
lamaa amat download data data game nya🗿,1,2026-01-15 13:33:50,id
tolong untuk developer nya game lebih dioptimalkan biar supaya enak main di hp yang menengah vitur sudah oke.,5,2026-01-15 12:11:01,id
"Ngestuck nggak jelas Coba kalok bukan penggemar komik dan anime nih game,gak bakalan saya download",1,2026-01-15 11:18:00,id
This is the best game I've ever played. 🤝,5,2026-01-15 11:11:15,id
"Game bagus ,alur cerita bagus tapi kok pada ngasih rate rendah ya, anime nya jg bagus, makin ke sini makin berat ini game ,di tambah koneksinya jelek padahal wifi kenceng",5,2026-01-15 09:38:02,id
"Bismillahirrahmanirrahim Niat saya merabun/membooster ( Bismillahirrahmanirrahim ""Sak dulurku papat lima pancer,rasane jiwa ragaku,lakuku paringanan Urip,waras,berkah,slamet aja ana alangan sawiji apa"" ) Agar menjadi power full Dan berfungsi dengan baik Sebagaimana fungsinya Atas izin ALLAH SWT",5,2026-01-15 09:21:41,id
UI nya berat banget cok,5,2026-01-15 08:27:40,id
seru gamenya,5,2026-01-15 08:19:41,id
"Another bug, the QTE skill doesn't work",4,2026-01-15 07:01:30,id
good,4,2026-01-15 05:45:48,id
terlalu banyak kekurangan di game ini,1,2026-01-14 08:17:22,id
gamenya keren cuyy gk nyesal download,3,2026-01-14 01:54:49,id
di tengah permainan kenapa selalu terjadi masalah selver,3,2026-01-13 14:10:05,id
